                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80421,                 1.1029,                 1.2018,                0.64438,                0.61114,                0.65641,                0.54611,                0.69351,                 1.1991,                  1.185,             0.00034033,             0.00034033,             0.00034033
                     36,                0.81115,                 1.1037,                 1.2041,                0.62508,                0.63307,                0.65882,                  0.549,                0.69105,                 1.2049,                 1.1837,             0.00032034,             0.00032034,             0.00032034
                     37,                0.79963,                 1.0744,                 1.1952,                0.64233,                 0.6377,                0.66446,                0.55439,                0.69118,                 1.1901,                 1.1841,             0.00030035,             0.00030035,             0.00030035
                     38,                0.79594,                 1.0606,                 1.1934,                0.63043,                0.65101,                0.66759,                0.55744,                0.68877,                 1.1853,                 1.1834,             0.00028036,             0.00028036,             0.00028036
                     39,                0.79075,                  1.054,                  1.192,                 0.6372,                0.64756,                0.66752,                0.55775,                0.68832,                 1.1805,                 1.1835,             0.00026037,             0.00026037,             0.00026037
                     40,                0.78817,                 1.0337,                 1.1897,                0.62577,                0.66132,                0.66771,                0.55881,                0.68503,                 1.1782,                 1.1788,             0.00024038,             0.00024038,             0.00024038
                     41,                  0.683,                0.73975,                 1.1424,                0.63647,                0.65443,                0.66884,                0.56122,                0.67946,                 1.1757,                 1.1751,             0.00022039,             0.00022039,             0.00022039
                     42,                0.66952,                0.69332,                 1.1294,                0.64888,                0.65432,                0.67122,                0.56497,                0.67335,                 1.1683,                 1.1697,              0.0002004,              0.0002004,              0.0002004
                     43,                0.65973,                0.66886,                 1.1208,                0.65967,                0.64999,                0.67215,                0.56627,                 0.6694,                 1.1626,                 1.1671,             0.00018041,             0.00018041,             0.00018041
                     44,                0.64908,                0.65049,                 1.1153,                0.65577,                0.65753,                0.67289,                0.56784,                0.66494,                  1.159,                 1.1639,             0.00016042,             0.00016042,             0.00016042
                     45,                0.64088,                0.62686,                 1.1058,                 0.6621,                0.64886,                0.67286,                0.56836,                0.66232,                 1.1583,                  1.162,             0.00014043,             0.00014043,             0.00014043
                     46,                0.62992,                 0.5976,                  1.097,                0.65876,                 0.6531,                0.67253,                0.56851,                0.66136,                 1.1549,                 1.1615,             0.00012044,             0.00012044,             0.00012044
                     47,                0.62491,                0.58407,                 1.0924,                 0.6651,                0.65012,                0.67318,                0.56942,                0.66065,                 1.1534,                 1.1614,             0.00010045,             0.00010045,             0.00010045
                     48,                0.61781,                0.56625,                 1.0877,                0.66025,                0.65432,                0.67269,                0.56913,                0.66007,                 1.1505,                 1.1619,              8.046e-05,              8.046e-05,              8.046e-05
                     49,                0.60961,                0.54986,                 1.0828,                0.66346,                0.65139,                0.67337,                0.56962,                 0.6607,                 1.1488,                 1.1627,              6.047e-05,              6.047e-05,              6.047e-05
                     50,                0.60501,                0.53404,                 1.0782,                0.66615,                0.64866,                0.67322,                0.56981,                 0.6601,                 1.1484,                 1.1622,              4.048e-05,              4.048e-05,              4.048e-05
